Step,Seconds,UAV_ID,UAV_X,UAV_Y,UAV_Z,Yaw,VehicleID,X,Y,Speed
1,0.5,0,1458.79,985.86,0.0,0,,,,
1,0.5,1,1488.73,846.56,0.0,0,,,,
1,0.5,2,1524.62,718.15,0.0,0,,,,
2,1.0,0,1458.79,985.86,0.0,0,,,,
2,1.0,1,1488.73,846.56,0.0,0,,,,
2,1.0,2,1524.62,718.15,0.0,0,,,,
3,1.5,0,1458.79,985.86,0.0,0,,,,
3,1.5,1,1488.73,846.56,0.0,0,,,,
3,1.5,2,1524.62,718.15,0.0,0,,,,
4,2.0,0,1458.79,985.86,0.0,0,,,,
4,2.0,1,1488.73,846.56,0.0,0,,,,
4,2.0,2,1524.62,718.15,0.0,0,,,,
5,2.5,0,1458.79,985.86,0.0,0,,,,
5,2.5,1,1488.73,846.56,0.0,0,,,,
5,2.5,2,1524.62,718.15,0.0,0,,,,
6,3.0,0,1458.79,985.86,0.0,0,,,,
6,3.0,1,1488.73,846.56,0.0,0,,,,
6,3.0,2,1524.62,718.15,0.0,0,,,,
7,3.5,0,1458.79,985.86,0.0,0,,,,
7,3.5,1,1488.73,846.56,0.0,0,,,,
7,3.5,2,1524.62,718.15,0.0,0,,,,
8,4.0,0,1458.79,985.86,0.0,0,,,,
8,4.0,1,1488.73,846.56,0.0,0,,,,
8,4.0,2,1524.62,718.15,0.0,0,,,,
9,4.5,0,1458.79,985.86,0.0,0,,,,
9,4.5,1,1488.73,846.56,0.0,0,,,,
9,4.5,2,1524.62,718.15,0.0,0,,,,
10,5.0,0,1458.79,985.86,0.0,0,,,,
10,5.0,1,1488.73,846.56,0.0,0,,,,
10,5.0,2,1524.62,718.15,0.0,0,,,,
11,5.5,0,1458.79,985.86,0.0,0,,,,
11,5.5,1,1488.73,846.56,0.0,0,,,,
11,5.5,2,1524.62,718.15,0.0,0,,,,
12,6.0,0,1458.79,985.86,0.0,0,,,,
12,6.0,1,1488.73,846.56,0.0,0,,,,
12,6.0,2,1524.62,718.15,0.0,0,,,,
13,6.5,0,1458.79,985.86,0.0,0,,,,
13,6.5,1,1488.73,846.56,0.0,0,,,,
13,6.5,2,1524.62,718.15,0.0,0,,,,
14,7.0,0,1458.79,985.86,0.0,0,,,,
14,7.0,1,1488.73,846.56,0.0,0,,,,
14,7.0,2,1524.62,718.15,0.0,0,,,,
15,7.5,0,1458.79,985.86,0.0,0,,,,
15,7.5,1,1488.73,846.56,0.0,0,,,,
15,7.5,2,1524.62,718.15,0.0,0,,,,
16,8.0,0,1458.79,985.86,0.0,0,,,,
16,8.0,1,1488.73,846.56,0.0,0,,,,
16,8.0,2,1524.62,718.15,0.0,0,,,,
17,8.5,0,1458.79,985.86,0.0,0,,,,
17,8.5,1,1488.73,846.56,0.0,0,,,,
17,8.5,2,1524.62,718.15,0.0,0,,,,
18,9.0,0,1458.79,985.86,0.0,0,,,,
18,9.0,1,1488.73,846.56,0.0,0,,,,
18,9.0,2,1524.62,718.15,0.0,0,,,,
19,9.5,0,1458.79,985.86,0.0,0,,,,
19,9.5,1,1488.73,846.56,0.0,0,,,,
19,9.5,2,1524.62,718.15,0.0,0,,,,
20,10.0,0,1458.79,985.86,0.0,0,,,,
20,10.0,1,1488.73,846.56,0.0,0,,,,
20,10.0,2,1524.62,718.15,0.0,0,,,,
21,10.5,0,1458.79,985.86,0.0,0,,,,
21,10.5,1,1488.73,846.56,0.0,0,,,,
21,10.5,2,1524.62,718.15,0.0,0,,,,
22,11.0,0,1458.79,985.86,0.0,0,,,,
22,11.0,1,1488.73,846.56,0.0,0,,,,
22,11.0,2,1524.62,718.15,0.0,0,,,,
23,11.5,0,1458.79,985.86,0.0,0,,,,
23,11.5,1,1488.73,846.56,0.0,0,,,,
23,11.5,2,1524.62,718.15,0.0,0,,,,
24,12.0,0,1458.79,985.86,0.0,0,,,,
24,12.0,1,1488.73,846.56,0.0,0,,,,
24,12.0,2,1524.62,718.15,0.0,0,,,,
25,12.5,0,1458.79,985.86,0.0,0,,,,
25,12.5,1,1488.73,846.56,0.0,0,,,,
25,12.5,2,1524.62,718.15,0.0,0,,,,
26,13.0,0,1458.79,985.86,0.0,0,,,,
26,13.0,1,1488.73,846.56,0.0,0,,,,
26,13.0,2,1524.62,718.15,0.0,0,,,,
27,13.5,0,1458.79,985.86,0.0,0,,,,
